,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
108,TSLA250530P00420000,2025-05-23 19:20:39+00:00,420.0,79.35,78.3,81.4,9.290001,13.260065,120.0,33,1.0405321411132817,True,REGULAR,USD
109,TSLA250530P00422500,2025-05-22 17:09:52+00:00,422.5,79.8,80.5,84.0,0.0,0.0,,2,1.0893600219726562,True,REGULAR,USD
110,TSLA250530P00425000,2025-05-20 19:20:45+00:00,425.0,80.5,83.0,86.5,0.0,0.0,4.0,2,1.1123091259765625,True,REGULAR,USD
111,TSLA250530P00430000,2025-05-22 18:56:20+00:00,430.0,83.3,88.3,91.4,0.0,0.0,4.0,5,1.1308637207031251,True,REGULAR,USD
112,TSLA250530P00432500,2025-05-22 18:53:13+00:00,432.5,86.0,90.5,94.0,0.0,0.0,,0,1.1801798803710937,True,REGULAR,USD
113,TSLA250530P00440000,2025-05-22 17:20:06+00:00,440.0,96.0,98.3,101.4,0.0,0.0,4.0,0,1.2177773486328123,True,REGULAR,USD
114,TSLA250530P00450000,2025-05-15 14:30:18+00:00,450.0,112.6,108.3,111.4,0.0,0.0,,0,1.3012730249023434,True,REGULAR,USD
115,TSLA250530P00452500,2025-05-23 18:06:15+00:00,452.5,110.1,110.25,114.0,-0.4300003,-0.38903493,4.0,0,1.3515657421874998,True,REGULAR,USD
116,TSLA250530P00460000,2025-05-22 13:30:28+00:00,460.0,127.3,118.3,121.4,0.0,0.0,1.0,0,1.3818390283203121,True,REGULAR,USD
117,TSLA250530P00470000,2025-05-13 15:29:08+00:00,470.0,148.25,128.3,131.4,0.0,0.0,,0,1.4599636376953122,True,REGULAR,USD
118,TSLA250530P00500000,2025-05-23 19:59:49+00:00,500.0,160.7,158.3,161.4,-2.4700012,-1.5137594,6.0,0,1.6806656591796876,True,REGULAR,USD
119,TSLA250530P00630000,2025-05-20 19:34:02+00:00,630.0,284.3,288.3,291.4,0.0,0.0,,0,2.458011667480469,True,REGULAR,USD
120,TSLA250530P00700000,2025-05-16 14:38:29+00:00,700.0,355.2,358.3,361.4,0.0,0.0,1.0,0,2.7949248876953128,True,REGULAR,USD
